Fecha;Producto;unidades;Impuesto Componente Base;Impuesto Componente Variable;Credito fiscal Componente Variable;Impuesto Específico Resultante
09-06-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
16-06-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
16-06-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
16-06-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
16-06-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
23-06-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
23-06-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
23-06-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
23-06-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
30-06-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
30-06-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
30-06-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
30-06-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
07-07-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
07-07-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
07-07-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
07-07-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
14-07-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
14-07-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
14-07-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
14-07-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
21-07-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
21-07-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
21-07-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
21-07-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
28-07-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
28-07-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
28-07-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
